order_id,customer_id,order_date,total_amount,shipping_address,status,delivery_date
ORD00017,CUST0028,12-04-2025,30700.57,"6792 Derek Locks, Lake Anthony, NV 08046",Cancelled,21-06-2025
ORD00018,CUST0057,02-09-2024,70349.89,"USS Perez, FPO AA 17894",Shipped,16-12-2024
ORD00019,CUST0133,03-03-2025,26518.11,"656 Hughes Brooks Suite 558, Garciamouth, CO 74994",Cancelled,22-06-2025
ORD00020,CUST0013,21-08-2024,9346.67,"852 Lopez Village Suite 207, Port Victoriashire, OK 57775",Shipped,21-10-2024
ORD00021,CUST0032,24-07-2024,48706.06,"134 Brown Locks, Port Frederick, LA 48609",Cancelled,22-02-2025
ORD00022,CUST0035,25-07-2024,7158.19,"879 Long Highway, Donaldberg, SC 00661",Cancelled,22-02-2025
ORD00023,CUST0136,04-09-2024,54029.99,"32208 Singh Passage, South Anthonyton, UT 59106",Delivered,05-02-2025
ORD00024,CUST0114,24-01-2025,25678.22,"09944 Jasmine Ranch, Alexanderland, WA 94550",Cancelled,16-06-2025
ORD00025,CUST0141,05-05-2025,37764.57,"1723 Rebecca Points Apt. 526, New Alexisville, NE 66165",Cancelled,17-05-2025
ORD00026,CUST0041,06-03-2025,33430.25,"78498 Hernandez Stream Suite 205, Sandersmouth, IL 82609",Cancelled,26-05-2025
ORD00027,CUST0116,26-08-2024,12257.62,"PSC 2572, Box 6881, APO AP 12909",Delivered,06-01-2025
ORD00028,CUST0064,02-12-2024,22232.6,"1961 Samuel Centers Suite 658, North Brandonville, MN 92250",Delivered,01-06-2025
ORD00029,CUST0134,31-08-2024,38390.75,"8464 Richardson Parks Apt. 774, Lopezshire, CO 39796",Cancelled,05-04-2025
ORD00030,CUST0062,04-06-2025,53646.81,"91933 Billy Trail, Danielview, TX 45112",Delivered,11-06-2025
ORD00031,CUST0113,10-04-2025,32101.34,"051 Rhonda Heights, New Danielleton, SD 52959",Pending,26-05-2025
ORD00032,CUST0074,01-11-2024,39114.09,"89323 Sharon Views Suite 101, North Annette, WV 96989",Shipped,16-03-2025
ORD00033,CUST0070,06-06-2025,40550.57,"91496 Buchanan Dam, South Brian, MA 75185",Delivered,24-06-2025
ORD00034,CUST0082,30-10-2024,14500.09,"9644 Mullins Lights, Port Davidton, DE 23696",Pending,06-03-2025
ORD00035,CUST0036,17-06-2025,32854.74,"46988 Erin Glen, Williamshire, WY 87033",Shipped,23-06-2025
ORD00036,CUST0060,29-10-2024,32417.12,"8218 Johnson Land Suite 460, Steventon, WY 01199",Cancelled,03-03-2025
ORD00037,CUST0040,31-08-2024,31829.05,"915 Williams Oval Suite 288, South Maryberg, OR 02107",Shipped,14-03-2025
ORD00038,CUST0017,11-08-2024,4244.34,"26755 George Corner Apt. 076, Ritaside, DC 31691",Cancelled,26-11-2024
ORD00039,CUST0105,08-03-2025,66436.99,"467 Floyd Center Apt. 365, North Amberfurt, MI 25792",Delivered,25-05-2025
ORD00040,CUST0139,14-04-2025,16555.89,"99904 Lisa Overpass, Timothyside, IN 42449",Cancelled,20-05-2025
ORD00041,CUST0107,18-09-2024,67605.23,"2746 Kennedy Point Suite 946, South Jose, OH 06545",Pending,31-03-2025
ORD00042,CUST0053,14-07-2024,28900.54,"USNV Banks, FPO AP 28921",Cancelled,08-06-2025
ORD00043,CUST0100,30-08-2024,43441.59,"677 Moreno Glens Apt. 020, West Elizabeth, KY 74103",Pending,27-12-2024
ORD00044,CUST0148,26-01-2025,57406.89,"1893 Hall Way Suite 050, Stacystad, NE 60022",Cancelled,29-04-2025
ORD00045,CUST0123,22-04-2025,24075.7,"5651 Clinton Mountains, North Brian, NM 79514",Pending,08-05-2025
ORD00046,CUST0091,26-07-2024,40925.76,"817 Monroe Forges Suite 653, East Cherylborough, TN 00884",Delivered,19-10-2024
ORD00047,CUST0100,05-09-2024,7612.19,"677 Moreno Glens Apt. 020, West Elizabeth, KY 74103",Cancelled,04-06-2025
ORD00048,CUST0138,11-10-2024,22099.51,"Unit 6862 Box 4942, DPO AP 75085",Shipped,08-03-2025
ORD00049,CUST0125,22-04-2025,27567.83,"00001 Jessica Unions Apt. 142, New Eileen, AL 36476",Shipped,14-05-2025
ORD00050,CUST0070,01-11-2024,22810.02,"91496 Buchanan Dam, South Brian, MA 75185",Cancelled,06-03-2025
ORD00051,CUST0125,04-07-2024,33619.87,"00001 Jessica Unions Apt. 142, New Eileen, AL 36476",Pending,04-04-2025
ORD00052,CUST0100,26-01-2025,30711.12,"677 Moreno Glens Apt. 020, West Elizabeth, KY 74103",Delivered,02-05-2025
ORD00053,CUST0104,27-09-2024,14860.92,"8847 Isabel Station, Port Alexandria, VT 17876",Shipped,18-10-2024
ORD00054,CUST0120,01-03-2025,2366.52,"4976 Bradley Centers, New Russellhaven, OR 66564",Shipped,24-03-2025
ORD00055,CUST0137,04-01-2025,47347.32,"3901 Oliver Course, North Ryanside, ND 53519",Pending,25-02-2025
ORD00056,CUST0101,14-04-2025,33348.85,"6025 Lori Plains Apt. 491, Zacharybury, KY 43650",Pending,23-05-2025
ORD00057,CUST0022,19-11-2024,21063.11,"19507 Elizabeth Trafficway, New Shane, MS 90914",Cancelled,19-03-2025
ORD00058,CUST0035,01-08-2024,63227.87,"879 Long Highway, Donaldberg, SC 00661",Cancelled,21-11-2024
ORD00059,CUST0047,15-11-2024,31763.19,"PSC 1453, Box 5727, APO AP 83591",Pending,18-11-2024
ORD00060,CUST0067,01-09-2024,6973.5,"1316 Jordan Junction, South Royberg, WY 09743",Cancelled,20-03-2025
ORD00061,CUST0084,25-02-2025,36694.48,"86180 Denise Pass Apt. 613, North Derek, UT 73292",Shipped,23-04-2025
ORD00062,CUST0117,02-02-2025,77829.73,"2902 Andrea Falls Apt. 573, South Jameston, MN 43369",Delivered,27-02-2025
ORD00063,CUST0087,11-05-2025,3005.65,"7240 Dunn Junction Apt. 327, Port Margaretland, CO 45789",Cancelled,11-05-2025
ORD00064,CUST0072,17-04-2025,13311.57,"4691 Reyes Extension Apt. 334, New Kathy, FL 74751",Cancelled,04-05-2025
ORD00065,CUST0065,08-06-2025,35872.28,"USS Gonzalez, FPO AE 62081",Pending,09-06-2025
ORD00066,CUST0121,19-06-2025,55217.02,"074 Garrett Falls, East Patrickview, ID 95379",Pending,21-06-2025
ORD00067,CUST0139,19-12-2024,14460.63,"99904 Lisa Overpass, Timothyside, IN 42449",Pending,10-04-2025
ORD00068,CUST0090,17-10-2024,32944.59,"99766 Gerald Vista, Mckinneystad, WV 91615",Shipped,11-11-2024
ORD00069,CUST0018,04-01-2025,30973.51,"783 Proctor Spurs, Adamborough, NM 84309",Pending,16-01-2025
ORD00070,CUST0008,15-03-2025,69685.49,"190 Thomas Junction, North Jeffreymouth, KY 96998",Shipped,01-06-2025
ORD00071,CUST0052,25-06-2024,33120.74,"353 Watson Fields, Danielbury, MT 50463",Pending,19-03-2025
ORD00072,CUST0040,09-07-2024,8875.54,"915 Williams Oval Suite 288, South Maryberg, OR 02107",Shipped,13-01-2025
ORD00073,CUST0033,12-11-2024,22601.07,"085 Sheila Fork, Jenniferberg, PA 03137",Cancelled,11-04-2025
ORD00074,CUST0030,10-03-2025,5302.18,"USCGC Mcintosh, FPO AA 10459",Shipped,16-05-2025
ORD00075,CUST0120,09-12-2024,3230.15,"4976 Bradley Centers, New Russellhaven, OR 66564",Delivered,28-05-2025
ORD00076,CUST0095,15-05-2025,23127.7,"813 Matthew Forge, Lake Josephport, TN 23892",Shipped,03-06-2025
ORD00077,CUST0030,22-09-2024,4486.99,"USCGC Mcintosh, FPO AA 10459",Shipped,30-04-2025
ORD00078,CUST0080,01-02-2025,25606.24,"9962 Raven Stravenue, Davisstad, KY 80603",Pending,23-03-2025
ORD00079,CUST0149,06-07-2024,6920.82,"809 Aaron Key, Princehaven, FL 60459",Pending,30-10-2024
ORD00080,CUST0080,04-08-2024,26071.77,"9962 Raven Stravenue, Davisstad, KY 80603",Cancelled,19-08-2024
ORD00081,CUST0102,23-06-2025,1602.98,"839 Gallagher Flat, North Crystal, AK 75700",Shipped,23-06-2025
ORD00082,CUST0020,23-03-2025,25019.15,"Unit 6333 Box 0327, DPO AA 37880",Shipped,18-06-2025
ORD00083,CUST0027,12-05-2025,16437.58,"44836 Tamara Stream, Lisamouth, AR 09785",Delivered,20-05-2025
ORD00084,CUST0031,03-03-2025,7309.31,"185 Jacqueline Port Apt. 258, North Joshuahaven, KY 79759",Pending,04-03-2025
ORD00085,CUST0089,27-02-2025,40735.65,"778 Julie Square Apt. 351, Seanton, OK 88371",Cancelled,18-04-2025
ORD00086,CUST0095,12-07-2024,33042.91,"813 Matthew Forge, Lake Josephport, TN 23892",Pending,02-06-2025
ORD00087,CUST0130,16-10-2024,33315.64,"82335 Campbell Point Suite 375, Micheleborough, ND 62024",Delivered,07-03-2025
ORD00088,CUST0004,31-10-2024,46878.83,"PSC 0867, Box 7437, APO AA 66424",Cancelled,17-02-2025
ORD00089,CUST0126,07-05-2025,4510.48,"25940 Adam Green Suite 707, Trevinoborough, RI 12991",Pending,15-06-2025
ORD00090,CUST0111,23-10-2024,22820.54,"578 Sarah Place, Port Zachary, DE 86736",Delivered,29-03-2025
ORD00091,CUST0118,23-06-2025,50757.12,"48562 Strickland Fords Suite 280, North Ryanhaven, WA 46142",Shipped,24-06-2025
ORD00092,CUST0112,11-06-2025,4231.02,"50522 Tracy Plaza, Zacharyburgh, AZ 79247",Shipped,23-06-2025
ORD00093,CUST0134,20-11-2024,34705.69,"8464 Richardson Parks Apt. 774, Lopezshire, CO 39796",Delivered,29-01-2025
ORD00094,CUST0138,25-08-2024,10174.96,"Unit 6862 Box 4942, DPO AP 75085",Cancelled,13-12-2024
ORD00095,CUST0120,19-09-2024,43131.45,"4976 Bradley Centers, New Russellhaven, OR 66564",Cancelled,24-03-2025
ORD00096,CUST0069,30-09-2024,20481.99,"258 Michael Roads, Maxwellberg, AK 76357",Delivered,26-01-2025
ORD00097,CUST0063,16-10-2024,27812.56,"334 York Cove, Duncanfort, TN 35189",Pending,29-04-2025
ORD00098,CUST0072,23-07-2024,13532.62,"4691 Reyes Extension Apt. 334, New Kathy, FL 74751",Cancelled,17-08-2024
ORD00099,CUST0063,22-04-2025,21310.54,"334 York Cove, Duncanfort, TN 35189",Cancelled,01-05-2025
ORD00100,CUST0146,19-06-2025,32458.71,"090 Campbell Ramp, Hillbury, OH 93809",Cancelled,21-06-2025
ORD00101,CUST0087,19-04-2025,47407.71,"7240 Dunn Junction Apt. 327, Port Margaretland, CO 45789",Pending,13-05-2025
ORD00102,CUST0127,28-11-2024,33183.97,"2296 Miller Point, Littleside, MI 45162",Delivered,28-03-2025
ORD00103,CUST0047,27-05-2025,9271.03,"PSC 1453, Box 5727, APO AP 83591",Cancelled,15-06-2025
ORD00104,CUST0055,26-12-2024,53655.31,"11409 Kenneth Valley, New Annetteburgh, KS 69676",Delivered,08-05-2025
ORD00105,CUST0067,31-12-2024,38774.33,"1316 Jordan Junction, South Royberg, WY 09743",Delivered,29-03-2025
ORD00106,CUST0072,09-04-2025,36231.66,"4691 Reyes Extension Apt. 334, New Kathy, FL 74751",Delivered,06-05-2025
ORD00107,CUST0143,16-11-2024,16148.97,"982 Chase Lights, New Nathanland, MN 34432",Pending,18-01-2025
ORD00108,CUST0133,04-04-2025,41769.94,"656 Hughes Brooks Suite 558, Garciamouth, CO 74994",Shipped,29-05-2025
ORD00109,CUST0022,12-08-2024,29094.65,"19507 Elizabeth Trafficway, New Shane, MS 90914",Shipped,19-03-2025
ORD00110,CUST0105,14-07-2024,13311.57,"467 Floyd Center Apt. 365, North Amberfurt, MI 25792",Cancelled,15-07-2024
ORD00111,CUST0143,17-05-2025,27890.01,"982 Chase Lights, New Nathanland, MN 34432",Shipped,12-06-2025
ORD00112,CUST0122,08-03-2025,58962.87,"65988 Ann Course, Kevinview, HI 34871",Cancelled,12-06-2025
ORD00113,CUST0115,13-12-2024,64539.22,"8142 Robinson Trace, Port Jocelyntown, ID 79037",Pending,16-06-2025
ORD00114,CUST0024,04-12-2024,19823.97,"426 Susan Port Apt. 291, Hodgeview, NC 80358",Delivered,24-02-2025
ORD00115,CUST0057,19-01-2025,11589.75,"USS Perez, FPO AA 17894",Cancelled,16-06-2025
ORD00116,CUST0063,24-03-2025,21818.94,"334 York Cove, Duncanfort, TN 35189",Delivered,24-05-2025
ORD00117,CUST0149,09-05-2025,48635.77,"809 Aaron Key, Princehaven, FL 60459",Delivered,15-06-2025
ORD00118,CUST0122,01-07-2024,4136.98,"65988 Ann Course, Kevinview, HI 34871",Delivered,07-09-2024
ORD00119,CUST0109,31-05-2025,16076.36,"9995 Denise Lock, West Lauren, AZ 40305",Delivered,13-06-2025
ORD00120,CUST0091,22-05-2025,25621.39,"817 Monroe Forges Suite 653, East Cherylborough, TN 00884",Cancelled,12-06-2025
ORD00121,CUST0070,27-02-2025,36538.28,"91496 Buchanan Dam, South Brian, MA 75185",Delivered,31-05-2025
ORD00122,CUST0065,23-11-2024,7450.35,"USS Gonzalez, FPO AE 62081",Shipped,01-05-2025
ORD00123,CUST0031,18-09-2024,37653.21,"185 Jacqueline Port Apt. 258, North Joshuahaven, KY 79759",Shipped,11-12-2024
ORD00124,CUST0081,18-09-2024,31777.63,"661 Patterson Motorway, Peterton, ID 33359",Pending,11-12-2024
ORD00125,CUST0138,10-04-2025,54505.2,"Unit 6862 Box 4942, DPO AP 75085",Shipped,21-06-2025
ORD00126,CUST0050,23-04-2025,1921.38,"2003 Graham Lodge, New Tammyburgh, IN 96092",Shipped,20-05-2025
ORD00127,CUST0124,30-11-2024,53433.35,"087 Rice Square Suite 350, Wiseview, MN 97899",Delivered,11-04-2025
ORD00128,CUST0135,04-12-2024,41952.54,"535 Valdez Loaf Suite 317, Port Robertview, ID 71973",Delivered,23-02-2025
ORD00129,CUST0026,13-02-2025,13911.09,"266 Anthony Lock Apt. 703, Lake Albertstad, MO 24031",Shipped,20-03-2025
ORD00130,CUST0076,08-04-2025,8219.53,"2655 Johnny Extension, Brendanburgh, HI 19369",Shipped,07-05-2025
ORD00131,CUST0093,24-12-2024,12209.89,"8712 Hannah Springs Suite 620, Benjaminport, NE 88927",Shipped,05-03-2025
ORD00132,CUST0078,02-05-2025,25961.37,"907 Susan Drive, Avilaborough, ME 21696",Pending,15-06-2025
ORD00133,CUST0137,28-07-2024,23179.8,"3901 Oliver Course, North Ryanside, ND 53519",Shipped,08-02-2025
ORD00134,CUST0071,17-05-2025,40288.28,"2470 James Shoal Suite 436, Wongchester, SD 55950",Pending,10-06-2025
ORD00135,CUST0014,13-01-2025,4756.28,"29116 Chen Lane, East Briannaburgh, NM 35111",Delivered,01-03-2025
ORD00136,CUST0033,24-02-2025,8036.56,"085 Sheila Fork, Jenniferberg, PA 03137",Cancelled,17-03-2025
ORD00137,CUST0027,16-09-2024,51008.29,"44836 Tamara Stream, Lisamouth, AR 09785",Pending,24-04-2025
ORD00138,CUST0147,12-09-2024,37647.92,"61857 Brown Lane Suite 975, West Richard, NE 73998",Delivered,19-03-2025
ORD00139,CUST0121,12-04-2025,20340.08,"074 Garrett Falls, East Patrickview, ID 95379",Cancelled,14-04-2025
ORD00140,CUST0113,29-11-2024,37621.01,"051 Rhonda Heights, New Danielleton, SD 52959",Delivered,21-06-2025
ORD00141,CUST0048,30-11-2024,41755.36,"03868 Alfred Harbor, Jessicaport, OK 85057",Pending,24-02-2025
ORD00142,CUST0065,02-04-2025,2020.38,"USS Gonzalez, FPO AE 62081",Cancelled,24-06-2025
ORD00143,CUST0030,03-05-2025,15565.29,"USCGC Mcintosh, FPO AA 10459",Pending,11-06-2025
ORD00144,CUST0103,19-02-2025,8999.92,"56330 Gregory Locks Suite 739, Jessicaton, NV 89762",Cancelled,27-05-2025
ORD00145,CUST0019,01-09-2024,9123.28,"441 Lowe Road Apt. 977, Whiteheadmouth, NJ 16120",Pending,21-03-2025
ORD00146,CUST0039,26-07-2024,42445.02,"729 Taylor Fall, Smithtown, MA 49915",Shipped,08-06-2025
ORD00147,CUST0145,15-03-2025,2722.31,"144 Ortiz Squares, Brandonfort, OH 10167",Delivered,10-04-2025
ORD00148,CUST0022,18-10-2024,45607.72,"19507 Elizabeth Trafficway, New Shane, MS 90914",Shipped,31-12-2024
ORD00149,CUST0031,11-03-2025,26851.3,"185 Jacqueline Port Apt. 258, North Joshuahaven, KY 79759",Cancelled,22-05-2025
ORD00150,CUST0058,21-10-2024,20576.51,"2818 Gordon Locks, East Haley, ME 84438",Cancelled,07-06-2025
ORD00151,CUST0116,20-08-2024,41945.38,"PSC 2572, Box 6881, APO AP 12909",Cancelled,27-12-2024
ORD00152,CUST0077,06-11-2024,12880.29,"80735 Jordan View Suite 904, Lake Nicole, WI 55699",Cancelled,16-12-2024
ORD00153,CUST0079,06-03-2025,27339.56,"3429 Fleming Coves, West Joannamouth, GA 04492",Pending,08-05-2025
ORD00154,CUST0026,13-10-2024,17552.08,"266 Anthony Lock Apt. 703, Lake Albertstad, MO 24031",Shipped,12-03-2025
ORD00155,CUST0055,25-07-2024,24819.57,"11409 Kenneth Valley, New Annetteburgh, KS 69676",Delivered,25-04-2025
ORD00156,CUST0021,11-03-2025,11662.6,"91232 Kara Locks, Josephchester, MS 92302",Shipped,10-04-2025
ORD00157,CUST0062,06-12-2024,11631.58,"91933 Billy Trail, Danielview, TX 45112",Shipped,09-02-2025
ORD00158,CUST0142,09-05-2025,51444.17,"89429 Drake Burg Apt. 498, Ashleyshire, IL 04240",Pending,20-06-2025
ORD00159,CUST0041,20-06-2025,1802.46,"78498 Hernandez Stream Suite 205, Sandersmouth, IL 82609",Pending,23-06-2025
ORD00160,CUST0105,16-12-2024,5501.26,"467 Floyd Center Apt. 365, North Amberfurt, MI 25792",Cancelled,31-01-2025
ORD00161,CUST0121,21-11-2024,39199.36,"074 Garrett Falls, East Patrickview, ID 95379",Delivered,01-01-2025
ORD00162,CUST0009,07-10-2024,21852.66,"125 Johnson Isle, Smithview, AK 35219",Shipped,23-05-2025
ORD00163,CUST0074,27-03-2025,47284.35,"89323 Sharon Views Suite 101, North Annette, WV 96989",Delivered,17-05-2025
ORD00164,CUST0117,20-12-2024,39090.91,"2902 Andrea Falls Apt. 573, South Jameston, MN 43369",Pending,11-03-2025
ORD00165,CUST0060,14-02-2025,10676.46,"8218 Johnson Land Suite 460, Steventon, WY 01199",Delivered,20-06-2025
ORD00166,CUST0051,05-06-2025,30866.23,"68444 Smith Creek, Jacobfort, NJ 32043",Cancelled,10-06-2025
ORD00167,CUST0030,19-04-2025,12050.28,"USCGC Mcintosh, FPO AA 10459",Shipped,03-06-2025
ORD00168,CUST0039,13-07-2024,8224.14,"729 Taylor Fall, Smithtown, MA 49915",Delivered,13-06-2025
ORD00169,CUST0037,27-04-2025,22297.29,"7772 Fernando Valleys, West Dianeville, VA 88934",Pending,13-06-2025
ORD00170,CUST0016,09-11-2024,62797.19,"848 Frederick Points, New Becky, ME 29267",Shipped,24-05-2025
ORD00171,CUST0079,05-11-2024,21578.02,"3429 Fleming Coves, West Joannamouth, GA 04492",Delivered,01-01-2025
ORD00172,CUST0113,29-10-2024,347.61,"051 Rhonda Heights, New Danielleton, SD 52959",Pending,08-05-2025
ORD00173,CUST0120,28-05-2025,49977.31,"4976 Bradley Centers, New Russellhaven, OR 66564",Delivered,19-06-2025
ORD00174,CUST0104,30-05-2025,29370.07,"8847 Isabel Station, Port Alexandria, VT 17876",Delivered,19-06-2025
ORD00175,CUST0129,09-10-2024,20255.08,"556 Hernandez Loaf, Reillychester, NE 33398",Cancelled,23-06-2025
ORD00176,CUST0113,27-06-2024,29691.35,"051 Rhonda Heights, New Danielleton, SD 52959",Pending,24-06-2025
ORD00177,CUST0011,28-04-2025,37503.21,"74388 Candice Isle Apt. 687, Barnesland, PA 07149",Cancelled,18-05-2025
ORD00178,CUST0083,09-02-2025,1634.15,"69059 Tucker Turnpike, Palmerstad, WA 88011",Delivered,14-03-2025
ORD00179,CUST0007,07-10-2024,50747.01,"PSC 7524, Box 0487, APO AP 43907",Pending,01-05-2025
ORD00180,CUST0059,10-07-2024,15827.49,"22393 Love Oval, Coxberg, ME 61873",Pending,23-01-2025
ORD00181,CUST0069,02-01-2025,17468.9,"258 Michael Roads, Maxwellberg, AK 76357",Pending,17-01-2025
ORD00182,CUST0045,06-01-2025,38869.01,"47504 Martinez Locks Suite 175, Michaelberg, AZ 49693",Cancelled,11-01-2025
ORD00183,CUST0133,14-07-2024,45114.66,"656 Hughes Brooks Suite 558, Garciamouth, CO 74994",Cancelled,05-02-2025
ORD00184,CUST0072,07-06-2025,42075.28,"4691 Reyes Extension Apt. 334, New Kathy, FL 74751",Shipped,22-06-2025
ORD00185,CUST0150,23-12-2024,12872.56,"02912 Garcia Run Apt. 754, Lake Jason, WV 89270",Cancelled,01-04-2025
ORD00186,CUST0126,06-01-2025,1326.22,"25940 Adam Green Suite 707, Trevinoborough, RI 12991",Pending,27-02-2025
ORD00187,CUST0121,14-04-2025,21081.91,"074 Garrett Falls, East Patrickview, ID 95379",Delivered,09-05-2025
ORD00188,CUST0105,22-05-2025,34813.85,"467 Floyd Center Apt. 365, North Amberfurt, MI 25792",Delivered,18-06-2025
ORD00189,CUST0083,03-01-2025,31003.28,"69059 Tucker Turnpike, Palmerstad, WA 88011",Pending,16-03-2025
ORD00190,CUST0042,11-07-2024,24867.34,"2922 Bradley Stream, Fleminghaven, DC 03253",Delivered,08-12-2024
ORD00191,CUST0106,28-10-2024,29619.01,"53110 Ramirez Mews Apt. 184, Port Benjamin, AK 44399",Cancelled,10-04-2025
ORD00192,CUST0074,10-05-2025,1406.96,"89323 Sharon Views Suite 101, North Annette, WV 96989",Cancelled,28-05-2025
ORD00193,CUST0141,08-01-2025,20504.43,"1723 Rebecca Points Apt. 526, New Alexisville, NE 66165",Pending,10-04-2025
ORD00194,CUST0117,31-10-2024,7681.76,"2902 Andrea Falls Apt. 573, South Jameston, MN 43369",Pending,24-02-2025
ORD00195,CUST0081,18-07-2024,47580.5,"661 Patterson Motorway, Peterton, ID 33359",Delivered,29-01-2025
ORD00196,CUST0083,03-10-2024,24569.72,"69059 Tucker Turnpike, Palmerstad, WA 88011",Pending,06-02-2025
ORD00197,CUST0104,22-07-2024,27333.71,"8847 Isabel Station, Port Alexandria, VT 17876",Pending,21-03-2025
ORD00198,CUST0139,05-02-2025,13110.86,"99904 Lisa Overpass, Timothyside, IN 42449",Cancelled,01-05-2025
ORD00199,CUST0106,31-03-2025,5042.95,"53110 Ramirez Mews Apt. 184, Port Benjamin, AK 44399",Pending,02-06-2025
ORD00200,CUST0049,25-07-2024,4676.38,"04074 Steele Field Suite 491, Michaelbury, MS 42681",Delivered,08-06-2025
ORD00201,CUST0128,12-08-2024,26282.94,"530 Theresa Plain, Barbaraland, LA 68274",Cancelled,26-01-2025
ORD00202,CUST0014,20-05-2025,20677.35,"29116 Chen Lane, East Briannaburgh, NM 35111",Shipped,31-05-2025
ORD00203,CUST0069,24-02-2025,4136.98,"258 Michael Roads, Maxwellberg, AK 76357",Shipped,15-03-2025
ORD00204,CUST0074,03-07-2024,5165.2,"89323 Sharon Views Suite 101, North Annette, WV 96989",Cancelled,01-04-2025
ORD00205,CUST0125,05-03-2025,28928.2,"00001 Jessica Unions Apt. 142, New Eileen, AL 36476",Pending,23-03-2025
ORD00206,CUST0008,11-06-2025,21424.29,"190 Thomas Junction, North Jeffreymouth, KY 96998",Shipped,22-06-2025
ORD00207,CUST0041,09-05-2025,34849.94,"78498 Hernandez Stream Suite 205, Sandersmouth, IL 82609",Delivered,25-05-2025
ORD00208,CUST0142,13-12-2024,11188.14,"89429 Drake Burg Apt. 498, Ashleyshire, IL 04240",Pending,07-05-2025
ORD00209,CUST0142,14-03-2025,70582.9,"89429 Drake Burg Apt. 498, Ashleyshire, IL 04240",Cancelled,04-06-2025
ORD00210,CUST0024,27-06-2024,33563.42,"426 Susan Port Apt. 291, Hodgeview, NC 80358",Shipped,18-03-2025
ORD00211,CUST0030,23-04-2025,29010.04,"USCGC Mcintosh, FPO AA 10459",Cancelled,21-05-2025
ORD00212,CUST0031,30-05-2025,10628.97,"185 Jacqueline Port Apt. 258, North Joshuahaven, KY 79759",Shipped,04-06-2025
ORD00213,CUST0128,20-12-2024,52265.04,"530 Theresa Plain, Barbaraland, LA 68274",Delivered,23-04-2025
ORD00214,CUST0131,22-06-2025,49787.2,"37507 Moody Mews, New Peggy, NM 36067",Delivered,24-06-2025
ORD00215,CUST0107,01-01-2025,31686.1,"2746 Kennedy Point Suite 946, South Jose, OH 06545",Cancelled,21-03-2025
ORD00216,CUST0121,23-10-2024,44789.72,"074 Garrett Falls, East Patrickview, ID 95379",Shipped,25-01-2025
ORD00217,CUST0117,24-06-2024,29218.44,"2902 Andrea Falls Apt. 573, South Jameston, MN 43369",Shipped,09-01-2025
ORD00218,CUST0099,05-01-2025,30925.18,"2368 Ortiz Flat Suite 596, Port Adamland, OH 64849",Shipped,18-02-2025
ORD00219,CUST0131,24-05-2025,64769.06,"37507 Moody Mews, New Peggy, NM 36067",Shipped,14-06-2025
ORD00220,CUST0018,12-05-2025,7797.57,"783 Proctor Spurs, Adamborough, NM 84309",Delivered,27-05-2025
ORD00221,CUST0107,20-12-2024,43534.38,"2746 Kennedy Point Suite 946, South Jose, OH 06545",Delivered,22-06-2025
ORD00222,CUST0130,01-01-2025,41220.86,"82335 Campbell Point Suite 375, Micheleborough, ND 62024",Delivered,10-01-2025
ORD00223,CUST0001,23-02-2025,16633.57,"8974 Underwood Mission Apt. 062, Lake Jenniferland, NJ 05928",Delivered,10-03-2025
